day,energy_sum
8/4/13,13.2069999
8/5/13,20.61
8/6/13,17.0440001
8/7/13,16.4949999
8/8/13,16.727
8/9/13,8.672
8/10/13,23.824
8/11/13,12.492
8/12/13,16.7769998
8/13/13,14.858
8/14/13,9.103
8/15/13,12.396
8/16/13,12.6350001
8/17/13,8.66
8/18/13,17.8070001
8/19/13,15.478
8/20/13,12.626
8/21/13,14.747
8/22/13,10.139
8/23/13,12.3259999
8/24/13,15.014
8/25/13,16.859
8/26/13,9.767
8/27/13,16.9439999
8/28/13,12.779
8/29/13,14.4500001
8/30/13,4.338
8/31/13,10.563
9/1/13,17.125
9/2/13,20.9629999
9/3/13,21.331
9/4/13,15.218
9/5/13,16.807
9/6/13,11.584
9/7/13,15.3939999
9/8/13,25.97
9/9/13,16.288
9/10/13,18.7899999
9/11/13,19.0100001
9/12/13,22.6560001
9/13/13,18.831
9/14/13,15.0720002
9/15/13,24.2070001
9/16/13,15.2619999
9/17/13,22.5340003
9/18/13,15.5420002
9/19/13,19.684
9/20/13,11.147
9/21/13,21.486
9/22/13,22.5990001
9/23/13,17.5430002
9/24/13,22.015
9/25/13,12.213
9/26/13,17.941
9/27/13,10.502
9/28/13,13.652
9/29/13,18.018
9/30/13,15.4750002
10/1/13,20.909
10/2/13,16.335
10/3/13,23.7469997
10/4/13,12.706
10/5/13,20.0340001
10/6/13,25.825
10/7/13,10.312
10/8/13,25.1319999
10/9/13,16.3449999
10/10/13,20.1569999
10/11/13,7.266
10/12/13,15.1860002
10/13/13,34.131
10/14/13,25.8429998
10/15/13,20.6370001
10/16/13,19.4599999
10/17/13,19.0149999
10/18/13,12.985
10/19/13,21.084
10/20/13,19.426
10/21/13,19.3150002
10/22/13,18.8549999
10/23/13,15.7400001
10/24/13,23.5
10/25/13,14.793
10/26/13,15.106
10/27/13,21.4139999
10/28/13,25.1580002
10/29/13,28.6599998
10/30/13,36.0589997
10/31/13,16.015
11/1/13,13.9920001
11/2/13,18.192
11/3/13,24.4360003
11/4/13,12.91
11/5/13,22.925
11/6/13,18.4510001
11/7/13,21.05
11/8/13,20.312
11/9/13,9.017
11/10/13,12.3799999
11/11/13,29.8659999
11/12/13,19.219
11/13/13,22.3430001
11/14/13,16.882
11/15/13,13.9290001
11/16/13,18.385
11/17/13,20.227
11/18/13,21.5700004
11/19/13,27.266
11/20/13,18.7000001
11/21/13,19.334
11/22/13,9.881
11/23/13,15.0769999
11/24/13,20.6080002
11/25/13,13.8670001
11/26/13,21.3150002
11/27/13,16.018
11/28/13,16.22
11/29/13,6.709
11/30/13,15.625
12/1/13,34.5609997
12/2/13,22.37
12/3/13,26.718
12/4/13,17.6580001
12/5/13,18.613
12/6/13,18.4930001
12/7/13,14.738
12/8/13,24.274
12/9/13,16.696
12/10/13,29.0780001
12/11/13,19.6139999
12/12/13,18.8610002
12/13/13,9.747
12/14/13,20.471
12/15/13,27.627
12/16/13,15.4600001
12/17/13,26.4899999
12/18/13,13.416
12/19/13,23.6079999
12/20/13,15.163
12/21/13,10.588
12/22/13,19.2100001
12/23/13,18.1200001
12/24/13,23.5870002
12/25/13,43.3200001
12/26/13,24.472
12/27/13,21.0829999
12/28/13,21.2529999
12/29/13,28.3170001
12/30/13,20.4100001
12/31/13,13.373
1/1/14,23.166
1/2/14,31.6750001
1/3/14,16.4670001
1/4/14,21.5840001
1/5/14,22.444
1/6/14,16.0219999
1/7/14,21.829
1/8/14,14.6909998
1/9/14,24.481
1/10/14,11.502
1/11/14,17.0149999
1/12/14,22.1510001
1/13/14,17.5440001
1/14/14,24.8359999
1/15/14,16.0419999
1/16/14,15.757
1/17/14,15.789
1/18/14,9.558
1/19/14,27.7650002
1/20/14,22.58
1/21/14,22.999
1/22/14,19.4550001
1/23/14,19.1839999
1/24/14,11.117
1/25/14,16.533
1/26/14,35.0680001
1/27/14,17.6270001
1/28/14,26.458
1/29/14,16.243
1/30/14,22.5310003
1/31/14,12.617
2/1/14,15.4739999
2/2/14,31.4260002
2/3/14,17.8450001
2/4/14,18.6229998
2/5/14,15.6950001
2/6/14,23.462
2/7/14,9.56
2/8/14,20.7939999
2/9/14,26.848
2/10/14,14.785
2/11/14,26.6410001
2/12/14,12.374
2/13/14,20.9729999
2/14/14,13.0369999
2/15/14,8.263
2/16/14,29.5930001
2/17/14,10.6860001
2/18/14,18.576
2/19/14,13.753
2/20/14,19.9790001
2/21/14,10.367
2/22/14,18.973
2/23/14,29.7160002
2/24/14,18.9349999
2/25/14,23.7169999
2/26/14,15.562
2/27/14,16.0260001
2/28/14,0.145
